results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,0.8,10,3,4G,macro,1x1,129.0,-98.0,-96.3645320261587,-1.74,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,2.6,10,3,4G,macro,1x1,138.0,-105.0,-107.02023541938078,-2.64,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,3.5,50,3,5G,macro,8x8,139.0,-107.0,-110.25570701687732,-11.51,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,3.7,50,3,5G,macro,8x8,141.0,-108.0,-110.25570701687732,-12.51,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,26,500,3,5G,macro,8x8,158.0,-125.0,-127.02023541938078,-39.51,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,0.7,10,3,5G,macro,8x8,130.0,-97.0,-97.25927819212137,-2.0699999999999985,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,0.8,10,3,4G,macro,1x1,132.0,-100.0,-96.29666562455623,-4.7,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,2.6,10,3,4G,macro,1x1,141.0,-108.0,-107.25924267669222,-5.52,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,3.5,50,3,5G,macro,8x8,141.0,-109.0,-110.2963175185213,-13.51,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,3.7,50,3,5G,macro,8x8,144.0,-111.0,-110.25924267669222,-15.51,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,26,500,3,5G,macro,8x8,161.0,-128.0,-127.25924267669222,-42.50999999999999,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,0.7,10,3,5G,macro,8x8,132.0,-100.0,-99.02572888399422,-3.7,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,0.8,10,3,4G,macro,1x1,134.0,-103.0,-98.25924267669222,-6.0,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,2.6,10,3,4G,macro,1x1,143.0,-110.0,-108.29666562455623,-7.52,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,3.5,50,3,5G,macro,8x8,144.0,-112.0,-112.25924267669222,-16.51,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,3.7,50,3,5G,macro,8x8,146.0,-113.0,-111.29666562455623,-17.51,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,26,500,3,5G,macro,8x8,163.0,-130.0,-128.29666562455623,-44.50999999999999,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,0.7,10,3,5G,macro,8x8,134.0,-102.0,-98.25959783098372,-5.7,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,0.8,10,3,4G,macro,1x1,136.0,-105.0,-97.29666562455623,-7.7,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,2.6,10,3,4G,macro,1x1,145.0,-112.0,-107.99997828581874,-9.52,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,3.5,50,3,5G,macro,8x8,146.0,-114.0,-111.25963336239205,-18.51,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,3.7,50,3,5G,macro,8x8,148.0,-115.0,-110.99997828581876,-19.51,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,26,500,3,5G,macro,8x8,165.0,-132.0,-127.99997828581874,-46.50999999999999,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,0.7,10,3,5G,macro,8x8,136.0,-103.0,-99.25570701687732,-7.704,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,0.8,10,3,4G,macro,1x1,138.0,-107.0,-98.25963336239205,-9.74,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,2.6,10,3,4G,macro,1x1,147.0,-114.0,-108.99783393824347,-11.52,0.0,0.0,0.0
