results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.7,10,3,5G,macro,1x1,88.0,-37.0,-70.29670819188702,35.26,7.4063,74.063,400.8777467530426
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.8,10,3,4G,macro,1x1,92.0,-41.0,-69.29670432195726,27.3,7.4063,74.063,400.8777467530426
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,1.8,10,3,4G,macro,1x1,89.0,-38.0,-76.65049100437554,39.3,7.4063,74.063,400.8777467530426
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,2.6,10,3,4G,macro,1x1,92.0,-41.0,-79.65049100437554,38.3,7.4063,74.063,400.8777467530426
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.5,50,3,5G,macro,1x1,94.0,-43.0,-82.65049100437554,40.3,7.4063,370.315,2004.3887337652131
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.7,50,3,5G,macro,1x1,95.0,-44.0,-82.99999978285281,38.3,7.4063,370.315,2004.3887337652131
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,26,500,3,5G,macro,1x1,112.0,-61.0,-99.65049100437554,23.49,7.4063,3703.15,20043.88733765213
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.7,10,3,5G,macro,8x8,88.0,-37.0,-70.30098222589827,34.3,50.0,500.0,2706.329386826368
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.5,50,3,5G,macro,8x8,94.0,-43.0,-82.30098222589827,40.78,50.0,2500.0,13531.64693413184
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.7,50,3,5G,macro,8x8,95.0,-44.0,-82.99999978285281,38.3,50.0,2500.0,13531.64693413184
50_percentile,urban,800,0.5542562584220407,1.8042195912175805,26,500,3,5G,macro,8x8,113.0,-62.0,-99.30098222589827,23.49,50.0,25000.0,135316.46934131838
50_percentile,urban,2800,6.789639165669998,0.14728323193612905,0.7,10,3,5G,macro,1x1,131.0,-80.0,-93.30102565230659,13.26,4.5234,45.234,19.986629140196584
50_percentile,urban,2800,6.789639165669998,0.14728323193612905,0.8,10,3,4G,macro,1x1,137.0,-86.0,-90.30102951794031,4.279999999999999,1.0264,10.264,4.535145277777286
