results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,3.5,40,3,5G,macro,140.0,-108.0,-109.99978290702776,-11.54,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,3.7,40,3,5G,macro,144.0,-111.0,-109.29666562455623,-14.54,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,26,200,3,5G,macro,160.0,-127.0,-126.25924267669222,-37.53,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,0.7,10,3,5G,macro,132.0,-99.0,-99.25924267669222,-3.0,0.377,3.77,0.3188394308854804
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,0.8,10,3,4G,macro,135.0,-103.0,-97.29666562455623,-7.7,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,1.8,10,3,4G,macro,141.0,-108.0,-106.29666562455623,-5.531,0.1523,1.523,0.128804364254267
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,2.6,10,3,4G,macro,142.0,-110.0,-108.02572888399422,-7.52,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,3.5,40,3,5G,macro,143.0,-111.0,-111.29666562455623,-14.54,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,3.7,40,3,5G,macro,146.0,-113.0,-111.25924267669222,-16.54,0.0,0.0,0.0
10_percentile,urban,6400,35.47240053901061,0.028190931112774695,26,200,3,5G,macro,162.0,-130.0,-128.02572888399422,-40.53,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,0.7,10,3,5G,macro,134.0,-101.0,-98.25963336239205,-5.0699999999999985,0.1523,1.523,0.10177134953424136
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,0.8,10,3,4G,macro,137.0,-105.0,-96.99978290702776,-8.7,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,1.8,10,3,4G,macro,143.0,-110.0,-105.99997828581876,-7.7,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,2.6,10,3,4G,macro,144.0,-112.0,-107.25959783098372,-9.52,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,3.5,40,3,5G,macro,145.0,-113.0,-110.99997828581876,-16.54,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,3.7,40,3,5G,macro,148.0,-115.0,-110.29666562455623,-18.54,0.0,0.0,0.0
10_percentile,urban,7200,44.8947569321853,0.022274315940957783,26,200,3,5G,macro,164.0,-132.0,-127.25959783098372,-42.53,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,0.7,10,3,5G,macro,136.0,-103.0,-99.25570701687732,-7.7,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,0.8,10,3,4G,macro,138.0,-107.0,-97.29670470895024,-11.7,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,1.8,10,3,4G,macro,144.0,-111.0,-106.29670819188702,-9.74,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,2.6,10,3,4G,macro,146.0,-113.0,-108.25570701687732,-11.52,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,3.5,40,3,5G,macro,146.0,-114.0,-111.29670819188702,-17.54,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,3.7,40,3,5G,macro,150.0,-117.0,-111.2629162065137,-20.54,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,26,200,3,5G,macro,166.0,-133.0,-128.25570701687732,-43.53,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,0.7,10,3,5G,macro,137.0,-105.0,-100.25570701687732,-9.7,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,0.8,10,3,4G,macro,140.0,-109.0,-98.29285766070056,-12.7,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,1.8,10,3,4G,macro,146.0,-113.0,-107.37031932971618,-11.534999999999998,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,2.6,10,3,4G,macro,148.0,-115.0,-109.25570701687732,-12.520999999999999,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,3.5,40,3,5G,macro,148.0,-116.0,-112.37031932971618,-19.54,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,3.7,40,3,5G,macro,151.0,-119.0,-112.2625613914132,-22.54,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,26,200,3,5G,macro,168.0,-135.0,-129.25570701687732,-45.53,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,0.7,10,3,5G,macro,139.0,-106.0,-100.99978290702776,-10.7,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,0.8,10,3,4G,macro,142.0,-110.0,-99.29627884007299,-14.7,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,1.8,10,3,4G,macro,147.0,-114.0,-108.29627884007299,-12.53,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,2.6,10,3,4G,macro,149.0,-116.0,-109.99978290702776,-13.59,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,3.5,40,3,5G,macro,149.0,-117.0,-113.29627884007299,-20.54,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,3.7,40,3,5G,macro,153.0,-120.0,-113.25924267669222,-23.54,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,26,200,3,5G,macro,169.0,-136.0,-129.99978290702776,-46.53,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,0.7,10,3,5G,macro,140.0,-107.0,-101.99978290702776,-10.7,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,0.8,10,3,4G,macro,143.0,-111.0,-100.25924267669222,-13.7,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,1.8,10,3,4G,macro,149.0,-115.0,-109.29627884007299,-12.73,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,2.6,10,3,4G,macro,151.0,-117.0,-110.99978290702776,-14.52,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,3.5,40,3,5G,macro,151.0,-118.0,-114.29281472551915,-21.54,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,3.7,40,3,5G,macro,154.0,-121.0,-114.25924267669222,-24.54,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,26,200,3,5G,macro,171.0,-137.0,-130.99978290702776,-47.53,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,0.7,10,3,5G,macro,141.0,-106.0,-102.99978290702776,-7.7,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,0.8,10,3,4G,macro,143.0,-110.0,-101.25924267669222,-11.7,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,1.8,10,3,4G,macro,150.0,-114.0,-110.29281472551915,-11.525999999999998,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,2.6,10,3,4G,macro,152.0,-116.0,-111.99978290702776,-13.52,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,3.5,40,3,5G,macro,152.0,-117.0,-115.29242982390207,-20.54,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,3.7,40,3,5G,macro,155.0,-120.0,-115.25924267669222,-23.54,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,26,200,3,5G,macro,172.0,-136.0,-131.99978290702776,-46.53,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,0.7,10,3,5G,macro,141.0,-106.0,-103.99978290702776,-7.7,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,0.8,10,3,4G,macro,143.0,-110.0,-102.25924267669222,-9.835999999999999,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,1.8,10,3,4G,macro,151.0,-115.0,-111.25924267669222,-12.52,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,2.6,10,3,4G,macro,152.0,-117.0,-112.99783393824347,-14.52,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,3.5,40,3,5G,macro,153.0,-117.0,-116.25924267669222,-20.54,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,3.7,40,3,5G,macro,156.0,-120.0,-116.25570701687732,-23.54,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,26,200,3,5G,macro,172.0,-137.0,-132.9978339382435,-47.53,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,0.7,10,3,5G,macro,141.0,-106.0,-104.99783393824347,-4.59,0.377,3.77,0.0797098577213701
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,0.8,10,3,4G,macro,143.0,-110.0,-103.25570701687732,-8.12,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,1.8,10,3,4G,macro,151.0,-114.0,-112.25924267669222,-11.52,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,2.6,10,3,4G,macro,152.0,-116.0,-113.29627884007299,-13.52,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,3.5,40,3,5G,macro,154.0,-117.0,-117.25924267669222,-20.54,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,3.7,40,3,5G,macro,156.0,-120.0,-116.99978290702776,-23.54,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,26,200,3,5G,macro,172.0,-136.0,-133.29627884007297,-46.53,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,0.7,10,3,5G,macro,142.0,-105.0,-105.26256139141321,-4.58,0.377,3.77,0.07060804005768632
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,0.8,10,3,4G,macro,144.0,-109.0,-103.99978290702776,-7.7,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,1.8,10,3,4G,macro,151.0,-114.0,-112.99978290702776,-11.52,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,2.6,10,3,4G,macro,153.0,-116.0,-114.25924267669222,-13.52,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,3.5,40,3,5G,macro,155.0,-117.0,-117.99978290702776,-20.54,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,3.7,40,3,5G,macro,157.0,-119.0,-117.99783393824349,-22.54,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,26,200,3,5G,macro,173.0,-136.0,-134.25924267669222,-46.53,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,0.7,10,3,5G,macro,141.9,-105.0,-106.25924267669222,-3.52,0.377,3.77,0.06298062832305668
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,0.8,10,3,4G,macro,144.0,-109.0,-104.99783393824347,-6.58,0.1523,1.523,0.025442837383558438
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,1.8,10,3,4G,macro,151.0,-114.0,-113.99978290702776,-11.52,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,2.6,10,3,4G,macro,153.0,-115.0,-115.25570701687732,-12.52,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,3.5,40,3,5G,macro,155.0,-116.1,-118.99783393824349,-19.639999999999997,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,3.7,40,3,5G,macro,156.0,-119.0,-118.29242982390207,-22.54,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,26,200,3,5G,macro,173.0,-135.0,-135.25570701687732,-45.53,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,0.7,10,3,5G,macro,142.0,-103.0,-106.99978290702776,-1.7009999999999998,0.877,8.77,0.13149312311616276
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,0.8,10,3,4G,macro,144.0,-106.10000000000001,-105.25924267669222,-4.52,0.2344,2.344,0.03514479824222184
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,1.8,10,3,4G,macro,151.9,-112.1,-114.29242982390207,-9.619999999999997,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,2.6,10,3,4G,macro,153.0,-114.10000000000001,-115.99978290702776,-11.619999999999997,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,3.5,40,3,5G,macro,155.0,-116.0,-119.2625613914132,-19.54,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,3.7,40,3,5G,macro,157.0,-118.0,-119.25606058285882,-21.54,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,26,200,3,5G,macro,173.0,-134.1,-135.99978290702776,-44.63,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,0.7,10,3,5G,macro,142.0,-103.0,-107.29627884007299,-1.52,0.877,8.77,0.11867254361233584
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,0.8,10,3,4G,macro,145.0,-106.0,-106.25570701687732,-3.73,0.2344,2.344,0.03171818041360493
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,1.8,10,3,4G,macro,152.0,-113.0,-115.25570701687732,-10.52,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,2.6,10,3,4G,macro,154.0,-114.0,-116.25924267669222,-11.52,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,3.5,40,3,5G,macro,156.0,-116.0,-120.25570701687732,-19.54,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,3.7,40,3,5G,macro,157.0,-118.0,-119.99978290702776,-21.54,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,26,200,3,5G,macro,174.0,-134.0,-136.25924267669222,-44.53,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,0.7,10,3,5G,macro,142.0,-103.1,-108.25924267669222,-1.0069999999999988,0.877,8.77,0.10763949533998973
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,0.8,10,3,4G,macro,144.0,-106.0,-106.99783393824349,-3.649,0.2344,2.344,0.0287693246381911
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,1.8,10,3,4G,macro,152.0,-113.0,-115.99978290702776,-10.52,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,2.6,10,3,4G,macro,154.0,-115.0,-117.25570701687732,-12.52,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,3.5,40,3,5G,macro,156.0,-115.0,-120.99783393824347,-18.54,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,3.7,40,3,5G,macro,157.0,-118.0,-120.29242982390207,-21.54,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,26,200,3,5G,macro,174.0,-135.0,-137.25570701687732,-45.53,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,0.7,10,3,5G,macro,142.9,-103.0,-108.99978290702776,-0.52,0.877,8.77,0.09807648232424598
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,0.8,10,3,4G,macro,145.0,-106.10000000000001,-107.25924267669222,-3.9799999999999986,0.2344,2.344,0.0262133722426491
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,1.8,10,3,4G,macro,151.9,-112.0,-116.25924267669222,-9.52,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,2.6,10,3,4G,macro,153.9,-114.0,-117.99783393824349,-11.52,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,3.5,40,3,5G,macro,155.0,-115.0,-121.25924267669222,-18.54,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,3.7,40,3,5G,macro,157.9,-117.0,-121.25570701687732,-20.54,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,26,200,3,5G,macro,173.9,-134.0,-137.9978339382435,-44.53,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,0.7,10,3,5G,macro,142.0,-102.0,-109.25924267669222,0.47,1.4766,14.766,0.15108377968195957
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,0.8,10,3,4G,macro,144.0,-106.0,-107.99978290702776,-3.5299999999999994,0.2344,2.344,0.023983501257924505
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,1.8,10,3,4G,macro,151.9,-111.0,-116.99978290702776,-8.52,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,2.6,10,3,4G,macro,153.9,-113.0,-118.25924267669222,-10.52,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,3.5,40,3,5G,macro,155.89999999999998,-114.0,-121.99978290702776,-17.54,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,3.7,40,3,5G,macro,157.0,-116.0,-121.99783393824349,-19.54,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,26,200,3,5G,macro,173.9,-133.0,-138.25924267669222,-43.53,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,0.7,10,3,5G,macro,142.9,-103.0,-109.99978290702776,-0.52,0.877,8.77,0.08241148861967765
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,0.8,10,3,4G,macro,145.0,-106.0,-108.25924267669222,-3.58,0.2344,2.344,0.02202651417611453
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,1.8,10,3,4G,macro,152.0,-112.0,-117.29627884007299,-9.52,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,2.6,10,3,4G,macro,154.0,-114.0,-118.99978290702776,-11.52,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,3.5,40,3,5G,macro,156.0,-115.0,-122.29242982390207,-18.54,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,3.7,40,3,5G,macro,157.9,-117.0,-122.25924267669222,-20.54,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,26,200,3,5G,macro,174.0,-134.0,-138.99978290702776,-44.53,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,0.7,10,3,5G,macro,143.0,-103.0,-110.29242982390207,-0.52,0.877,8.77,0.07595042791189646
